배출구명,측정일자,기상,기온℃,습도％,기압mmHg,풍향,풍속m／sec,가스속도m／s,가스온도℃,수분함량％,실측산소농도％,표준산소농도％,배출가스유량S㎥／min,오염물질,농도,배출허용기준농도,배출허용기준체크,측정업체
C-ST01001,2.02501E+11,맑음,4,33,769.9,북서,3,26.63,12,1.97,0,0,1713.8,먼지,0.7,30,,보아스환경기술
C-ST01002,2.02501E+11,맑음,1,50,769.3,북서,5,15.03,10,1.85,0,0,976.1,먼지,0.7,30,,보아스환경기술
#A2110101,2.02501E+11,흐림,6,49,768.4,남서,4,1.48,27,2.81,3.3,8,61.5,황산화물,0,126(8),,보아스환경기술
#A2110102,2.02501E+11,맑음,11,40,768.4,남,5,1.48,26,2.73,5.4,8,28.5,황산화물,0,126(8),,보아스환경기술
#A3011001,2.02501E+11,맑음,1,20,769.6,북서,4,1.45,6,0.85,0,0,0.7,먼지,0.5,21,,보아스환경기술
#A3011002,2.02501E+11,맑음,2,16,770.2,북서,4,2.53,11,0.98,0,0,1.1,먼지,0.5,21,,보아스환경기술
#A3011003,2.02501E+11,맑음,2,16,770.2,북,5,4.95,23,1.96,0,0,62.3,황산화물,0,140,,보아스환경기술
#A2110202,2.02501E+11,맑음,12,39,767.7,남,4,3.61,16,1.76,0,0,6.4,먼지,0.5,21,,보아스환경기술
#A2110202,2.02501E+11,맑음,12,39,767.7,남,4,3.61,16,1.76,0,0,6.4,구리화합물(Cu로서),0,4,,보아스환경기술
#A2110202,2.02501E+11,맑음,12,39,767.7,남,4,3.61,16,1.76,0,0,6.4,납화합물(Pb로서),0,0.39,,보아스환경기술
#A2110202,2.02501E+11,맑음,12,39,767.7,남,4,3.61,16,1.76,0,0,6.4,비소화합물(As로서),0,0.25,,보아스환경기술
#A3011004,2.02501E+11,맑음,3.3,15,767,북,2.4,2.17,33.3,3.05,0,0,78.6,황산화물,0,140,,보아스환경기술
#A3011005,2.02501E+11,맑음,2.8,13,767.6,북서,4.1,6.12,32.6,3.74,0,0,226,황산화물,0,140,,보아스환경기술
#A3011006,2.02501E+11,맑음,1,21,769.5,북서,3.3,6.78,2.3,1.72,0,0,260.9,먼지,5.4,21,,보아스환경기술
#A3011006,2.02501E+11,맑음,1,21,769.5,북서,3.3,6.78,2.3,1.72,0,0,260.9,황산화물,0,140,,보아스환경기술
#A3011006,2.02501E+11,맑음,1,21,769.5,북서,3.3,6.78,2.3,1.72,0,0,260.9,비소화합물(As로서),0.002,0.25,,보아스환경기술
#A2020264,2.02501E+11,맑음,2,41,768.3,남서,3,2.1,20.3,1.33,0,0,2.1,먼지,9.2,21,,보아스환경기술
#A2020264,2.02501E+11,맑음,2,41,768.3,남서,3,2.1,20.3,1.33,0,0,2.1,황산화물,0,140,,보아스환경기술
#A2020264,2.02501E+11,맑음,2,41,768.3,남서,3,2.1,20.3,1.33,0,0,2.1,염화수소,0.1,3,,보아스환경기술
#A2020264,2.02501E+11,맑음,2,41,768.3,남서,3,2.1,20.3,1.33,0,0,2.1,불소화합물(F로서),0,2,,보아스환경기술
#A2020264,2.02501E+11,맑음,2,41,768.3,남서,3,2.1,20.3,1.33,0,0,2.1,구리화합물(Cu로서),0,4,,보아스환경기술
#A2020264,2.02501E+11,맑음,2,41,768.3,남서,3,2.1,20.3,1.33,0,0,2.1,크롬화합물(Cr로서),0,0.4,,보아스환경기술
#A2020264,2.02501E+11,맑음,2,41,768.3,남서,3,2.1,20.3,1.33,0,0,2.1,니켈 및 그 화합물,0.007,1,,보아스환경기술
#A2020264,2.02501E+11,맑음,2,41,768.3,남서,3,2.1,20.3,1.33,0,0,2.1,아연화합물(Zn로서),1.473,4,,보아스환경기술
#A2020264,2.02501E+11,맑음,2,41,768.3,남서,3,2.1,20.3,1.33,0,0,2.1,벤젠,0,2.9,,보아스환경기술
#A2020265,2.02501E+11,맑음,2,41,768.3,남서,3,2.1,17,2.43,0,0,2.1,먼지,3.7,21,,보아스환경기술
