고객사코드,굴뚝번호,굴뚝코드,굴뚝 정식 명칭,배출시설 종류,위치,굴뚝 높이(m),굴뚝 안지름(m),굴뚝 종별(종),,,,,,
CUST001,#A2020218,CUST001-#A2020218,NT #1 Reactor,반응시설,,-,0.31,5,,,,,,
CUST001,#A2020219,CUST001-#A2020219,NT #1 Reactor,반응시설,,-,0.42,5,,,,,,
CUST001,#A2020220,CUST001-#A2020220,NT #2 Reactor,반응시설,,-,0.32,5,,,,,,
CUST001,#A2020222,CUST001-#A2020222,Fumer HYD 아연재 #1 Pulping Tank,혼합시설,,11.5,0.2,5,,,,,,
CUST001,#A2020223,CUST001-#A2020223,Fumer HYD 아연재 #2 Pulping Tank,혼합시설,,12,0.24,5,,,,,,
CUST001,#A2020224,CUST001-#A2020224,#1-1 Fumer HYD Reactor ,반응시설,,20.5,0.25,5,,,,,,
CUST001,#A2020225,CUST001-#A2020225,#1-2 Fumer HYD Reactor ,반응시설,,20,0.23,5,,,,,,
CUST001,#A2020226,CUST001-#A2020226,#1-3 Fumer HYD Reactor,반응시설,,19.5,0.21,5,,,,,,
CUST001,#A2020227,CUST001-#A2020227,M/C F/P Pulping T/K #1,유무기산저장시설,,17.2,0.26,5,,,,,,
CUST001,#A2020228,CUST001-#A2020228,M/C F/P Pulping T/K #2,유무기산저장시설,,17.2,0.3,5,,,,,,
CUST001,#A2020229,CUST001-#A2020229,M/C F/P 여액 #1 Tank,유무기산저장시설,,17.3,0.25,5,,,,,,
CUST001,#A2020230,CUST001-#A2020230,M/C F/P 여액 #2 Tank,유무기산저장시설,,17.3,0.25,5,,,,,,
CUST001,#A2020231,CUST001-#A2020231,#2-1 Fumer HYD Reactor,반응시설,,20.5,0.24,5,,,,,,
CUST001,#A2020232,CUST001-#A2020232,#2-2 Fumer HYD Reactor,반응시설,,20,0.22,5,,,,,,
CUST001,#A2020233,CUST001-#A2020233,#2-3 Fumer HYD Reactor,반응시설,,19.5,0.22,5,,,,,,
CUST001,#A2020234,CUST001-#A2020234,Pre-NL#1 Ra',반응시설,,18,0.53,5,,,,,,
CUST001,#A2020235,CUST001-#A2020235,Pre-NL#2 Ra',반응시설,,-,0.37,5,,,,,,
CUST001,#A2020236,CUST001-#A2020236,Pre-NL#3 Ra',반응시설,,28.6,0.5,5,,,,,,
CUST001,#A2020237,CUST001-#A2020237,Pre-NL#4,반응시설,,18.9,0.32,5,,,,,,
CUST001,#A2020238,CUST001-#A2020238,Pre-NL#5,반응시설,,19,0.32,5,,,,,,
