고객사코드,굴뚝번호,굴뚝코드,굴뚝 정식 명칭,배출시설 종류,위치,굴뚝 높이(m),굴뚝 안지름(m),굴뚝 종별(종),,,,,,
CUST001,#A2110202,CUST001-#A2110202,Indium 이동식 Bag Filter,그 밖의 시설,,3.6,0.2,5,,,,,,
CUST001,#A3011001,CUST001-#A3011001,Ca(OH)2 Silo Bag Filter,고체입자상물질 저장시설,,16.3,0.1,5,,,,,,
CUST001,#A3011002,CUST001-#A3011002,CaCO3 Silo Bag Filter,고체입자상물질 저장시설,,16.1,0.1,5,,,,,,
CUST001,#A3011003,CUST001-#A3011003,정수 #3 Scrubber (24m³/hr),반응시설,,19.2,0.54,5,,,,,,
CUST001,#A3011004,CUST001-#A3011004,정수 #4 Scrubber (100m³/hr),반응시설,,20.5,0.94,5,,,,,,
CUST001,#A3011005,CUST001-#A3011005,정수 #5 Scrubber,반응시설,,20.6,0.95,5,,,,,,
CUST001,#A3011006,CUST001-#A3011006,정수 #6 Scrubber,정제시설,,2.1,0.91,5,,,,,,
CUST001,C-ST01001,CUST001-C-ST01001,언로더-하역기 여과집진시설,비산먼지 발생시설,,20,1.2,5,,,,,,
CUST001,C-ST01002,CUST001-C-ST01002,Moving Hopper 여과집진시설,비산먼지 발생시설,,15,1.2,5,,,,,,
CUST001,C-ZL00006,CUST001-C-ZL00006,Pre Leaching Bin Bag Filter,비산먼지 발생시설,,-,0.65,5,,,,,,
