배출구명,측정일자,기상,기온℃,습도％,기압mmHg,풍향,풍속m／sec,가스속도m／s,가스온도℃,수분함량％,실측산소농도％,표준산소농도％,배출가스유량S㎥／min,오염물질,농도,배출허용기준농도,배출허용기준체크,측정업체
#A2020068,2.02505E+11,맑음,18.1,61,758.8,남동,2.3,2.26,57,2.94,0,0,1.9,먼지,2.4,21,,보아스환경기술
#A2020068,2.02505E+11,맑음,18.1,61,758.8,남동,2.3,2.26,57,2.94,0,0,1.9,황산화물,1.7,140,,보아스환경기술
#A2020068,2.02505E+11,맑음,18.1,61,758.8,남동,2.3,2.26,57,2.94,0,0,1.9,염화수소,0.2,3,,보아스환경기술
#A2020068,2.02505E+11,맑음,18.1,61,758.8,남동,2.3,2.26,57,2.94,0,0,1.9,불소화합물(F로서),0.12,2,,보아스환경기술
#A2020068,2.02505E+11,맑음,18.1,61,758.8,남동,2.3,2.26,57,2.94,0,0,1.9,암모니아,0.8,30,,보아스환경기술
#A2020068,2.02505E+11,맑음,18.1,61,758.8,남동,2.3,2.26,57,2.94,0,0,1.9,구리화합물(Cu로서),0.107,4,,보아스환경기술
#A2020068,2.02505E+11,맑음,18.1,61,758.8,남동,2.3,2.26,57,2.94,0,0,1.9,크롬화합물(Cr로서),0.106,0.4,,보아스환경기술
#A2020068,2.02505E+11,맑음,18.1,61,758.8,남동,2.3,2.26,57,2.94,0,0,1.9,납화합물(Pb로서),0.092,0.39,,보아스환경기술
#A2020068,2.02505E+11,맑음,18.1,61,758.8,남동,2.3,2.26,57,2.94,0,0,1.9,카드뮴화합물(Cd로서),0.005,0.1,,보아스환경기술
#A2020068,2.02505E+11,맑음,18.1,61,758.8,남동,2.3,2.26,57,2.94,0,0,1.9,니켈 및 그 화합물,0.038,1,,보아스환경기술
#A2020068,2.02505E+11,맑음,18.1,61,758.8,남동,2.3,2.26,57,2.94,0,0,1.9,아연화합물(Zn로서),1.335,4,,보아스환경기술
#A2020068,2.02505E+11,맑음,18.1,61,758.8,남동,2.3,2.26,57,2.94,0,0,1.9,비소화합물(As로서),0.04,0.25,,보아스환경기술
#A2020068,2.02505E+11,맑음,18.1,61,758.8,남동,2.3,2.26,57,2.94,0,0,1.9,수은화합물(Hg로서),0.00033,0.1,,보아스환경기술
#A2020068,2.02505E+11,맑음,18.1,61,758.8,남동,2.3,2.26,57,2.94,0,0,1.9,벤젠,0,2.9,,보아스환경기술
#A2020070,2.02505E+11,맑음,18,62,760.3,남동,3,2,75.7,3.91,0,0,1.6,먼지,31.4,21,,보아스환경기술
#A2020070,2.02505E+11,맑음,18,62,760.3,남동,3,2,75.7,3.91,0,0,1.6,황산화물,0.7,140,,보아스환경기술
#A2020070,2.02505E+11,맑음,18,62,760.3,남동,3,2,75.7,3.91,0,0,1.6,염화수소,0,3,,보아스환경기술
#A2020070,2.02505E+11,맑음,18,62,760.3,남동,3,2,75.7,3.91,0,0,1.6,불소화합물(F로서),0.15,2,,보아스환경기술
#A2020070,2.02505E+11,맑음,18,62,760.3,남동,3,2,75.7,3.91,0,0,1.6,암모니아,0,30,,보아스환경기술
#A2020070,2.02505E+11,맑음,18,62,760.3,남동,3,2,75.7,3.91,0,0,1.6,구리화합물(Cu로서),0.031,4,,보아스환경기술
#A2020070,2.02505E+11,맑음,18,62,760.3,남동,3,2,75.7,3.91,0,0,1.6,크롬화합물(Cr로서),0,0.4,,보아스환경기술
#A2020070,2.02505E+11,맑음,18,62,760.3,남동,3,2,75.7,3.91,0,0,1.6,납화합물(Pb로서),0.055,0.39,,보아스환경기술
#A2020070,2.02505E+11,맑음,18,62,760.3,남동,3,2,75.7,3.91,0,0,1.6,카드뮴화합물(Cd로서),0.007,0.1,,보아스환경기술
#A2020070,2.02505E+11,맑음,18,62,760.3,남동,3,2,75.7,3.91,0,0,1.6,니켈 및 그 화합물,0.005,1,,보아스환경기술
#A2020070,2.02505E+11,맑음,18,62,760.3,남동,3,2,75.7,3.91,0,0,1.6,아연화합물(Zn로서),2.098,4,,보아스환경기술
#A2020070,2.02505E+11,맑음,18,62,760.3,남동,3,2,75.7,3.91,0,0,1.6,비소화합물(As로서),0.034,0.25,,보아스환경기술
#A2020070,2.02505E+11,맑음,18,62,760.3,남동,3,2,75.7,3.91,0,0,1.6,수은화합물(Hg로서),0.00044,0.1,,보아스환경기술
#A2020070,2.02505E+11,맑음,18,62,760.3,남동,3,2,75.7,3.91,0,0,1.6,벤젠,0.05,2.9,,보아스환경기술
#A2020069,2.02505E+11,맑음,20,59,763.9,남동,3,2.58,159.2,3.22,0,0,1.7,먼지,2.4,21,,보아스환경기술
#A2020069,2.02505E+11,맑음,20,59,763.9,남동,3,2.58,159.2,3.22,0,0,1.7,황산화물,0,140,,보아스환경기술
#A2020069,2.02505E+11,맑음,20,59,763.9,남동,3,2.58,159.2,3.22,0,0,1.7,염화수소,0.2,3,,보아스환경기술
#A2020069,2.02505E+11,맑음,20,59,763.9,남동,3,2.58,159.2,3.22,0,0,1.7,불소화합물(F로서),0,2,,보아스환경기술
#A2020069,2.02505E+11,맑음,20,59,763.9,남동,3,2.58,159.2,3.22,0,0,1.7,암모니아,0,30,,보아스환경기술
#A2020069,2.02505E+11,맑음,20,59,763.9,남동,3,2.58,159.2,3.22,0,0,1.7,구리화합물(Cu로서),0.031,4,,보아스환경기술
#A2020069,2.02505E+11,맑음,20,59,763.9,남동,3,2.58,159.2,3.22,0,0,1.7,크롬화합물(Cr로서),0,0.4,,보아스환경기술
#A2020069,2.02505E+11,맑음,20,59,763.9,남동,3,2.58,159.2,3.22,0,0,1.7,납화합물(Pb로서),0.11,0.39,,보아스환경기술
#A2020069,2.02505E+11,맑음,20,59,763.9,남동,3,2.58,159.2,3.22,0,0,1.7,카드뮴화합물(Cd로서),0.004,0.1,,보아스환경기술
#A2020069,2.02505E+11,맑음,20,59,763.9,남동,3,2.58,159.2,3.22,0,0,1.7,니켈 및 그 화합물,0.003,1,,보아스환경기술
#A2020069,2.02505E+11,맑음,20,59,763.9,남동,3,2.58,159.2,3.22,0,0,1.7,아연화합물(Zn로서),1.494,4,,보아스환경기술
#A2020069,2.02505E+11,맑음,20,59,763.9,남동,3,2.58,159.2,3.22,0,0,1.7,비소화합물(As로서),0.026,0.25,,보아스환경기술
#A2020069,2.02505E+11,맑음,20,59,763.9,남동,3,2.58,159.2,3.22,0,0,1.7,수은화합물(Hg로서),0.00031,0.1,,보아스환경기술
#A2020069,2.02505E+11,맑음,20,59,763.9,남동,3,2.58,159.2,3.22,0,0,1.7,벤젠,0.04,2.9,,보아스환경기술
#A2020071,2.02505E+11,맑음,20.4,59,763.2,남,3,5.33,76,4.49,0,0,4.2,먼지,5.4,21,,보아스환경기술
#A2020071,2.02505E+11,맑음,20.4,59,763.2,남,3,5.33,76,4.49,0,0,4.2,황산화물,0,140,,보아스환경기술
#A2020071,2.02505E+11,맑음,20.4,59,763.2,남,3,5.33,76,4.49,0,0,4.2,염화수소,0.5,3,,보아스환경기술
#A2020071,2.02505E+11,맑음,20.4,59,763.2,남,3,5.33,76,4.49,0,0,4.2,불소화합물(F로서),0.18,2,,보아스환경기술
#A2020071,2.02505E+11,맑음,20.4,59,763.2,남,3,5.33,76,4.49,0,0,4.2,암모니아,0,30,,보아스환경기술
#A2020071,2.02505E+11,맑음,20.4,59,763.2,남,3,5.33,76,4.49,0,0,4.2,구리화합물(Cu로서),0,4,,보아스환경기술
#A2020071,2.02505E+11,맑음,20.4,59,763.2,남,3,5.33,76,4.49,0,0,4.2,크롬화합물(Cr로서),0,0.4,,보아스환경기술
#A2020071,2.02505E+11,맑음,20.4,59,763.2,남,3,5.33,76,4.49,0,0,4.2,납화합물(Pb로서),0.029,0.39,,보아스환경기술
#A2020071,2.02505E+11,맑음,20.4,59,763.2,남,3,5.33,76,4.49,0,0,4.2,카드뮴화합물(Cd로서),0,0.1,,보아스환경기술
#A2020071,2.02505E+11,맑음,20.4,59,763.2,남,3,5.33,76,4.49,0,0,4.2,니켈 및 그 화합물,0.002,1,,보아스환경기술
#A2020071,2.02505E+11,맑음,20.4,59,763.2,남,3,5.33,76,4.49,0,0,4.2,아연화합물(Zn로서),0.511,4,,보아스환경기술
#A2020071,2.02505E+11,맑음,20.4,59,763.2,남,3,5.33,76,4.49,0,0,4.2,비소화합물(As로서),0.018,0.25,,보아스환경기술
#A2020071,2.02505E+11,맑음,20.4,59,763.2,남,3,5.33,76,4.49,0,0,4.2,수은화합물(Hg로서),0,0.1,,보아스환경기술
#A2020071,2.02505E+11,맑음,20.4,59,763.2,남,3,5.33,76,4.49,0,0,4.2,벤젠,0.05,2.9,,보아스환경기술
#A2020211,2.02505E+11,맑음,21,43,757.2,남동,2,1.52,27.2,1.05,0,0,16,먼지,1.4,21,,보아스환경기술
#A2020211,2.02505E+11,맑음,21,43,757.2,남동,2,1.52,27.2,1.05,0,0,16,황산화물,0,140,,보아스환경기술
#A2020211,2.02505E+11,맑음,21,43,757.2,남동,2,1.52,27.2,1.05,0,0,16,염화수소,0,3,,보아스환경기술
#A2020211,2.02505E+11,맑음,21,43,757.2,남동,2,1.52,27.2,1.05,0,0,16,불소화합물(F로서),0,2,,보아스환경기술
