배출구명,측정일자,기상,기온℃,습도％,기압mmHg,풍향,풍속m／sec,가스속도m／s,가스온도℃,수분함량％,실측산소농도％,표준산소농도％,배출가스유량S㎥／min,오염물질,농도,배출허용기준농도,배출허용기준체크,측정업체
#A2020277,2.02508E+11,구름,30,82,753.5,남,5,1.56,40,2.72,0,0,1.2,먼지,1.1,21,,보아스환경기술
#A2020277,2.02508E+11,구름,30,82,753.5,남,5,1.56,40,2.72,0,0,1.2,황산화물,0,140,,보아스환경기술
#A2020277,2.02508E+11,구름,30,82,753.5,남,5,1.56,40,2.72,0,0,1.2,염화수소,0.2,3,,보아스환경기술
#A2020277,2.02508E+11,구름,30,82,753.5,남,5,1.56,40,2.72,0,0,1.2,불소화합물(F로서),0,2,,보아스환경기술
#A2020277,2.02508E+11,구름,30,82,753.5,남,5,1.56,40,2.72,0,0,1.2,암모니아,0,30,,보아스환경기술
#A2020277,2.02508E+11,구름,30,82,753.5,남,5,1.56,40,2.72,0,0,1.2,구리화합물(Cu로서),0,4,,보아스환경기술
#A2020277,2.02508E+11,구름,30,82,753.5,남,5,1.56,40,2.72,0,0,1.2,크롬화합물(Cr로서),0,0.4,,보아스환경기술
#A2020277,2.02508E+11,구름,30,82,753.5,남,5,1.56,40,2.72,0,0,1.2,납화합물(Pb로서),0.159,0.39,,보아스환경기술
#A2020277,2.02508E+11,구름,30,82,753.5,남,5,1.56,40,2.72,0,0,1.2,카드뮴화합물(Cd로서),0,0.1,,보아스환경기술
#A2020277,2.02508E+11,구름,30,82,753.5,남,5,1.56,40,2.72,0,0,1.2,니켈 및 그 화합물,0,1,,보아스환경기술
#A2020277,2.02508E+11,구름,30,82,753.5,남,5,1.56,40,2.72,0,0,1.2,아연화합물(Zn로서),0.024,4,,보아스환경기술
#A2020277,2.02508E+11,구름,30,82,753.5,남,5,1.56,40,2.72,0,0,1.2,비소화합물(As로서),0.01,0.25,,보아스환경기술
