배출구명,측정일자,기상,기온℃,습도％,기압mmHg,풍향,풍속m／sec,가스속도m／s,가스온도℃,수분함량％,실측산소농도％,표준산소농도％,배출가스유량S㎥／min,오염물질,농도,배출허용기준농도,배출허용기준체크,측정업체
#A2020042,2.02502E+11,맑음,-4,32,762,서,5,2.26,62,4.16,0,0,1.9,먼지,10.9,21,,보아스환경기술
#A2020042,2.02502E+11,맑음,-4,32,762,서,5,2.26,62,4.16,0,0,1.9,황산화물,15.7,140,,보아스환경기술
#A2020042,2.02502E+11,맑음,-4,32,762,서,5,2.26,62,4.16,0,0,1.9,염화수소,0.3,3,,보아스환경기술
#A2020042,2.02502E+11,맑음,-4,32,762,서,5,2.26,62,4.16,0,0,1.9,불소화합물(F로서),0.16,2,,보아스환경기술
#A2020042,2.02502E+11,맑음,-4,32,762,서,5,2.26,62,4.16,0,0,1.9,암모니아,1.7,30,,보아스환경기술
#A2020042,2.02502E+11,맑음,-4,32,762,서,5,2.26,62,4.16,0,0,1.9,구리화합물(Cu로서),0,4,,보아스환경기술
#A2020042,2.02502E+11,맑음,-4,32,762,서,5,2.26,62,4.16,0,0,1.9,크롬화합물(Cr로서),0.021,0.4,,보아스환경기술
#A2020042,2.02502E+11,맑음,-4,32,762,서,5,2.26,62,4.16,0,0,1.9,납화합물(Pb로서),0.11,0.39,,보아스환경기술
#A2020042,2.02502E+11,맑음,-4,32,762,서,5,2.26,62,4.16,0,0,1.9,카드뮴화합물(Cd로서),0.004,0.1,,보아스환경기술
#A2020042,2.02502E+11,맑음,-4,32,762,서,5,2.26,62,4.16,0,0,1.9,니켈 및 그 화합물,0.007,1,,보아스환경기술
#A2020042,2.02502E+11,맑음,-4,32,762,서,5,2.26,62,4.16,0,0,1.9,아연화합물(Zn로서),0.527,4,,보아스환경기술
#A2020042,2.02502E+11,맑음,-4,32,762,서,5,2.26,62,4.16,0,0,1.9,비소화합물(As로서),0.018,0.25,,보아스환경기술
#A2020042,2.02502E+11,맑음,-4,32,762,서,5,2.26,62,4.16,0,0,1.9,수은화합물(Hg로서),0.00513,0.1,,보아스환경기술
#A2020042,2.02502E+11,맑음,-4,32,762,서,5,2.26,62,4.16,0,0,1.9,벤젠,0,2.9,,보아스환경기술
#A2020043,2.02502E+11,맑음,-2,24,762.6,남서,3,7.86,79,3.76,0,0,6.2,먼지,12.8,21,,보아스환경기술
#A2020043,2.02502E+11,맑음,-2,24,762.6,남서,3,7.86,79,3.76,0,0,6.2,황산화물,7.3,140,,보아스환경기술
#A2020043,2.02502E+11,맑음,-2,24,762.6,남서,3,7.86,79,3.76,0,0,6.2,염화수소,0.3,3,,보아스환경기술
#A2020043,2.02502E+11,맑음,-2,24,762.6,남서,3,7.86,79,3.76,0,0,6.2,불소화합물(F로서),0.27,2,,보아스환경기술
#A2020043,2.02502E+11,맑음,-2,24,762.6,남서,3,7.86,79,3.76,0,0,6.2,암모니아,0.6,30,,보아스환경기술
#A2020043,2.02502E+11,맑음,-2,24,762.6,남서,3,7.86,79,3.76,0,0,6.2,구리화합물(Cu로서),0,4,,보아스환경기술
#A2020043,2.02502E+11,맑음,-2,24,762.6,남서,3,7.86,79,3.76,0,0,6.2,크롬화합물(Cr로서),0,0.4,,보아스환경기술
#A2020043,2.02502E+11,맑음,-2,24,762.6,남서,3,7.86,79,3.76,0,0,6.2,납화합물(Pb로서),0.05,0.39,,보아스환경기술
#A2020043,2.02502E+11,맑음,-2,24,762.6,남서,3,7.86,79,3.76,0,0,6.2,카드뮴화합물(Cd로서),0,0.1,,보아스환경기술
#A2020043,2.02502E+11,맑음,-2,24,762.6,남서,3,7.86,79,3.76,0,0,6.2,니켈 및 그 화합물,0.003,1,,보아스환경기술
#A2020043,2.02502E+11,맑음,-2,24,762.6,남서,3,7.86,79,3.76,0,0,6.2,아연화합물(Zn로서),0.328,4,,보아스환경기술
#A2020043,2.02502E+11,맑음,-2,24,762.6,남서,3,7.86,79,3.76,0,0,6.2,비소화합물(As로서),0.003,0.25,,보아스환경기술
#A2020043,2.02502E+11,맑음,-2,24,762.6,남서,3,7.86,79,3.76,0,0,6.2,수은화합물(Hg로서),0.00142,0.1,,보아스환경기술
#A2020043,2.02502E+11,맑음,-2,24,762.6,남서,3,7.86,79,3.76,0,0,6.2,벤젠,0,2.9,,보아스환경기술
#A2020044,2.02502E+11,맑음,-2,24,762.6,남서,3,2.23,52.3,2.78,0,0,1.9,먼지,10.5,21,,보아스환경기술
#A2020044,2.02502E+11,맑음,-2,24,762.6,남서,3,2.23,52.3,2.78,0,0,1.9,황산화물,0,140,,보아스환경기술
#A2020044,2.02502E+11,맑음,-2,24,762.6,남서,3,2.23,52.3,2.78,0,0,1.9,염화수소,7.4,3,,보아스환경기술
