,,,,,,,2.1 굴뚝/배출구 정보,
항목,항목,항목,항목,항목,항목,항목,업체,고객사 코드
굴뚝 번호,굴뚝코드,굴뚝 정식 명칭,배출시설 종류,굴뚝 높이(m),굴뚝 안지름(m),굴뚝 종별(종),,
#A2110102,CUST001-#A2110102,"EC SCR(16, 17 LINE)",황산제조시설,13.2 ,0.62 ,5,고려아연,CUST001
#A2110201,CUST001-#A2110201,Indium SCR,반응시설,12.3 ,0.87 ,4,고려아연,CUST001
#A2110202,CUST001-#A2110202,Indium 이동식 Bag Filter,그 밖의 시설,3.6 ,0.20 ,5,고려아연,CUST001
#A3011001,CUST001-#A3011001,Ca(OH)2 Silo Bag Filter,고체입자상물질 저장시설,16.3 ,0.10 ,5,고려아연,CUST001
#A3011002,CUST001-#A3011002,CaCO3 Silo Bag Filter,고체입자상물질 저장시설,16.1 ,0.10 ,5,고려아연,CUST001
#A3011003,CUST001-#A3011003,정수 #3 Scrubber (24m³/hr),반응시설,19.2 ,0.54 ,4,고려아연,CUST001
#A3011004,CUST001-#A3011004,정수 #4 Scrubber (100m³/hr),반응시설,20.5 ,0.94 ,3,고려아연,CUST001
#A3011005,CUST001-#A3011005,정수 #5 Scrubber,반응시설,20.6 ,0.95 ,5,고려아연,CUST001
#A3011006,CUST001-#A3011006,정수 #6 Scrubber,정제시설,2.1 ,0.91 ,5,고려아연,CUST001
C-ST01001,CUST001-C-ST01001,언로더-하역기 여과집진시설,비산먼지 발생시설,20.0 ,1.20 ,-,고려아연,CUST001
C-ST01002,CUST001-C-ST01002,Moving Hopper 여과집진시설,비산먼지 발생시설,15.0 ,1.20 ,-,고려아연,CUST001
C-ZL00006,CUST001-C-ZL00006,Pre Leaching Bin Bag Filter,비산먼지 발생시설,-,0.65 ,-,고려아연,CUST001
,,,,,,,,
4 ,CUST002-4,1. 재생로1호,재생로1호,-,0.50 ,3,삼양사 1공장,CUST002
5 ,CUST002-5,2. 재생로2호,재생로2호,-,0.50 ,4,삼양사 1공장,CUST002
7 ,CUST002-7,10. 건조기1호,건조기1호,-,1.30 ,2,삼양사 1공장,CUST002
8 ,CUST002-8,11. 건조기2호,건조기2호,-,1.20 ,2,삼양사 1공장,CUST002
64 ,CUST002-64,13-2. 갈색건조기,갈색건조기,-,1.50 ,2,삼양사 1공장,CUST002
11 ,CUST002-11,16. 저장사이로,저장사이로,-,1.06*0.56,2,삼양사 1공장,CUST002
10 ,CUST002-10,17. 배합실,배합실,-,0.4*0.77,4,삼양사 1공장,CUST002
12 ,CUST002-12,18. 공급라인,공급라인,-,0.75 ,4,삼양사 1공장,CUST002
13 ,CUST002-13,19. 포장라인,포장라인,-,0.75 ,3,삼양사 1공장,CUST002
15 ,CUST002-15,"22. 조정품1,2","조정품1,2",-,0.40 ,4,삼양사 1공장,CUST002
14 ,CUST002-14,23. 분당라인,분당라인,-,0.40 ,4,삼양사 1공장,CUST002
16 ,CUST002-16,24. 글레이즈,글레이즈,-,0.15 ,4,삼양사 1공장,CUST002
27 ,CUST002-27,#A2. D-702-1,D-702-1,-,0.31 ,4,삼양사 1공장,CUST002
28 ,CUST002-28,#A3. WT-106,WT-106,-,0.20 ,5,삼양사 1공장,CUST002
31 ,CUST002-31,75. 조정품3,조정품3,-,0.30 ,5,삼양사 1공장,CUST002
32 ,CUST002-32,76. 미립당,미립당,-,0.30 ,5,삼양사 1공장,CUST002
33 ,CUST002-33,77. 분당포장,분당포장,-,0.30 ,4,삼양사 1공장,CUST002
36 ,CUST002-36,#A4. HK보일러,HK보일러,-,0.90 ,1,삼양사 1공장,CUST002
37 ,CUST002-37,#A5. HG보일러,HG보일러,-,2.00 ,1,삼양사 1공장,CUST002
38 ,CUST002-38,80. 기능성설탕,기능성설탕,-,0.54 ,3,삼양사 1공장,CUST002
39 ,CUST002-39,81. 석회용해,석회용해,-,0.25 ,5,삼양사 1공장,CUST002
40 ,CUST002-40,82. 규조토,규조토,-,0.12 ,5,삼양사 1공장,CUST002
52 ,CUST002-52,#A1. D-920-1,D-920-1,-,1.00 ,3,삼양사 1공장,CUST002
42 ,CUST002-42,85. 1kg 포장,1kg 포장,-,0.22 ,4,삼양사 1공장,CUST002
43 ,CUST002-43,86. 3kg 포장,3kg 포장,-,0.22 ,5,삼양사 1공장,CUST002
44 ,CUST002-44,87. 미니바,미니바,-,0.22 ,5,삼양사 1공장,CUST002
45 ,CUST002-45,88. 1톤백계량,1톤백계량,-,0.25 ,4,삼양사 1공장,CUST002
46 ,CUST002-46,89. 인산염투입,인산염투입,-,0.20 ,5,삼양사 1공장,CUST002
47 ,CUST002-47,90. 조정품믹서#1,조정품믹서#1,-,0.25 ,4,삼양사 1공장,CUST002
48 ,CUST002-48,91. 조정품믹서#2,조정품믹서#2,-,0.25 ,4,삼양사 1공장,CUST002
49 ,CUST002-49,92. 조정품믹서#3,조정품믹서#3,-,0.25 ,4,삼양사 1공장,CUST002
54 ,CUST002-54,94-2. 유동층쿨러1호,유동층쿨러1호,-,0.60 ,2,삼양사 1공장,CUST002
55 ,CUST002-55,95-2. 유동층쿨러2호,유동층쿨러2호,-,0.60 ,2,삼양사 1공장,CUST002
56 ,CUST002-56,96-3. 폐수처리장,폐수처리장,-,0.78 ,5,삼양사 1공장,CUST002
58 ,CUST002-58,14. 흑설탕 15kg,흑설탕 15kg,-,0.15 ,5,삼양사 1공장,CUST002
59 ,CUST002-59,15. 흑설탕 1kg,흑설탕 1kg,-,0.15 ,5,삼양사 1공장,CUST002
,,,,,,,,
2 ,CUST003-2,1.?CF-124,CF-124,26.0 ,0.50 ,4,삼양사 2공장,CUST003
3 ,CUST003-3,2. CF-144,CF-144,26.0 ,0.60 ,5,삼양사 2공장,CUST003
1 ,CUST003-1,3. CF-125,CF-125,26.0 ,0.60 ,5,삼양사 2공장,CUST003
4 ,CUST003-4,4. CC-137,CC-137,26.0 ,0.50 ,4,삼양사 2공장,CUST003
5 ,CUST003-5,5. CF-147,CF-147,26.0 ,0.60 ,5,삼양사 2공장,CUST003
9 ,CUST003-9,6. CX-808,CX-808,20.0 ,0.92 ,4,삼양사 2공장,CUST003
11 ,CUST003-11,7. CX-878,CX-878,25.0 ,1.20 ,3,삼양사 2공장,CUST003
12 ,CUST003-12,8. CF-901,CF-901,9.0 ,0.63 ,4,삼양사 2공장,CUST003
13 ,CUST003-13,9. CF-902,CF-902,9.0 ,0.15 ,5,삼양사 2공장,CUST003
43 ,CUST003-43,10-7-1. CX-571,CX-571,20.0 ,1.90 ,1,삼양사 2공장,CUST003
15 ,CUST003-15,11. DA-803,DA-803,14.0 ,0.41 ,2,삼양사 2공장,CUST003
17 ,CUST003-17,13. DF-2005,DF-2005,23.0 ,1.20 ,2,삼양사 2공장,CUST003
21 ,CUST003-21,17. CF-809,CF-809,23.0 ,0.26 ,4,삼양사 2공장,CUST003
22 ,CUST003-22,18. CF-879,CF-879,23.0 ,0.39 ,4,삼양사 2공장,CUST003
23 ,CUST003-23,19. DF-2006,DF-2006,33.0 ,0.31 ,5,삼양사 2공장,CUST003
24 ,CUST003-24,20. PF-2002,PF-2002,33.0 ,0.30 ,5,삼양사 2공장,CUST003
28 ,CUST003-28,26. DF-805,DF-805,21.0 ,0.21 ,5,삼양사 2공장,CUST003
29 ,CUST003-29,27. 141,141,15.0 ,0.58 ,4,삼양사 2공장,CUST003
30 ,CUST003-30,28. 142,142,45.0 ,0.25 ,5,삼양사 2공장,CUST003
32 ,CUST003-32,30-2. DF-2102,DF-2102,-,0.21 ,5,삼양사 2공장,CUST003
33 ,CUST003-33,31. DF-2101,DF-2101,27.0 ,0.13 ,5,삼양사 2공장,CUST003
34 ,CUST003-34,32. DX-435,DX-435,22.0 ,0.08 ,5,삼양사 2공장,CUST003
35 ,CUST003-35,33. PX-1100,PX-1100,24.0 ,0.11 ,5,삼양사 2공장,CUST003
45 ,CUST003-45,36. CX-858,CX-858,15.0 ,1.20 ,3,삼양사 2공장,CUST003
44 ,CUST003-44,37. DX-436,DX-436,15.0 ,0.54 ,5,삼양사 2공장,CUST003
47 ,CUST003-47,38. DF-810,DF-810,20.0 ,0.29 ,4,삼양사 2공장,CUST003
49 ,CUST003-49,41. CF-409,CF-409,25.0 ,0.45 ,4,삼양사 2공장,CUST003
50 ,CUST003-50,42. PF-3037,PF-3037,25.0 ,0.20 ,4,삼양사 2공장,CUST003
51 ,CUST003-51,43. PF-3940,PF-3940,15.0 ,0.21 ,5,삼양사 2공장,CUST003
52 ,CUST003-52,44. UF-942,UF-942,10.0 ,0.20 ,4,삼양사 2공장,CUST003
54 ,CUST003-54,46. HX-105,HX-105,10.0 ,0.21 ,5,삼양사 2공장,CUST003
55 ,CUST003-55,47. HX-116,HX-116,20.0 ,0.25 ,5,삼양사 2공장,CUST003
56 ,CUST003-56,48. UX-390,UX-390,20.0 ,0.10 ,5,삼양사 2공장,CUST003
57 ,CUST003-57,49. HX-343,HX-343,10.0 ,0.21 ,5,삼양사 2공장,CUST003
58 ,CUST003-58,50-2. HX-879,HX-879,20.0 ,1.57 ,3,삼양사 2공장,CUST003
61 ,CUST003-61,53. UF-961,UF-961,10.0 ,0.21 ,5,삼양사 2공장,CUST003
62 ,CUST003-62,54. AF-843,AF-843,10.0 ,0.18 ,5,삼양사 2공장,CUST003
63 ,CUST003-63,55. AF-853,AF-853,10.0 ,0.34 ,5,삼양사 2공장,CUST003
66 ,CUST003-66,58. FX-512,FX-512,25.0 ,0.34 ,3,삼양사 2공장,CUST003
68 ,CUST003-68,60. DT-433B,DT-433B,15.0 ,0.15 ,5,삼양사 2공장,CUST003
67 ,CUST003-67,59. UX-1181,UX-1181,10.0 ,0.20 ,5,삼양사 2공장,CUST003
48 ,CUST003-48,39. CF-408,CF-408,-,-,-,삼양사 2공장,CUST003
46 ,CUST003-46,40. CF-890,CF-890,-,-,-,삼양사 2공장,CUST003
53 ,CUST003-53,45. HF-102,HF-102,10.0 ,0.30 ,5,삼양사 2공장,CUST003
59 ,CUST003-59,51. HF-881,HF-881,-,-,-,삼양사 2공장,CUST003
60 ,CUST003-60,52. HF-882,HF-882,-,-,-,삼양사 2공장,CUST003
64 ,CUST003-64,56. AF-881,AF-881,-,-,-,삼양사 2공장,CUST003
65 ,CUST003-65,57. AF-810,AF-810,-,-,-,삼양사 2공장,CUST003
,,,,,,,,
4 ,CUST004-4,HOH-10 직접연소에 의한 시설,탄화수소발생시설 외 ,30.0 ,1.00 ,3,SK에코프라임,CUST004
6 ,CUST004-6,PA-65 흡착에 의한 시설,저장(혼합)시설,2.5 ,0.28 ,5,SK에코프라임,CUST004
7 ,CUST004-7,VE-20 방지시설설치면제시설,응축시설,2.0 ,0.06 ,5,SK에코프라임,CUST004
8 ,CUST004-8,SWT 방지시설설치면제시설,탄화수소발생시설,5.5 ,0.10 ,5,SK에코프라임,CUST004
9 ,CUST004-9,CGT 방지시설설치면제시설,탄화수소발생시설,5.5 ,0.10 ,5,SK에코프라임,CUST004
,,,,,,,,
1 ,CUST005-1,여과집진시설,탈청시설,-,-,-,한국특장차,CUST005
2 ,CUST005-2,여과집진시설,탈청시설,10.0 ,0.48 ,5,한국특장차,CUST005
3 ,CUST005-3,여과 및 흡착에 의한 시설,도장 및 건조시설,10.0 ,1.00 ,5,한국특장차,CUST005
4 ,CUST005-4,여과 및 흡착에 의한 시설,도장시설,10.0 ,1.00 ,5,한국특장차,CUST005
5 ,CUST005-5,여과 및 흡착에 의한 시설,도장 및 건조시설,10.0 ,0.55 ,5,한국특장차,CUST005
,,,,,,,,
1 ,CUST006-1,화학물질저장탱크세척시설,화학물질저장탱크세척시설,10.0 ,0.37 ,5,협운스톨트항운,CUST006
,,,,,,,,
37 ,CUST007-37,여과 및 흡착에 의한 시설,반응 및 응축시설,6.0 ,0.93 ,5,웨스트레이크코리아,CUST007
22 ,CUST007-22,흡수에 의한 시설,반응 및 응축시설,7.0 ,0.10 ,5,웨스트레이크코리아,CUST007
19 ,CUST007-19,흡수에 의한 시설,반응 및 응축시설,9.0 ,0.23 ,5,웨스트레이크코리아,CUST007
36 ,CUST007-36,연소조절에 의한 시설,가열시설,9.0 ,0.60 ,4,웨스트레이크코리아,CUST007
,,,,,,,,
#A-1,CUST008-#A-1,SC-101,무기산저장시설,5.5 ,0.30 ,5,케이오씨,CUST008
#A-2,CUST008-#A-2,SC-292,무기산저장시설,2.9 ,0.07 ,5,케이오씨,CUST008
#A-3,CUST008-#A-3,SC-2,그 밖의 시설,5.8 ,0.40 ,5,케이오씨,CUST008
#A-4,CUST008-#A-4,BF-633,건조시설,-,-,-,케이오씨,CUST008
#A-5,CUST008-#A-5,BF-638,계량 및 포장시설,-,-,-,케이오씨,CUST008
#A-6,CUST008-#A-6,BF-683,건조시설,5.0 ,0.19 ,5,케이오씨,CUST008
#A-7,CUST008-#A-7,BF-690,혼합시설 외,3.1 ,0.25 ,5,케이오씨,CUST008
#A-8,CUST008-#A-8,SC-121,무기산저장시설 외 ,5.5 ,0.28 ,5,케이오씨,CUST008
#A-9,CUST008-#A-9,SC-606B,유기화합물저장시설 외,-,-,-,케이오씨,CUST008
#A-10,CUST008-#A-10,SC-607B,반응시설 외,5.2 ,0.45 ,5,케이오씨,CUST008
#A-11,CUST008-#A-11,RTO-720,유기화합물저장시설 외,10.0 ,0.85 ,5,케이오씨,CUST008
,,,,,,,,
1 ,CUST009-1,흡수에 의한 시설,용융시설,7.0 ,0.35 ,5,엔나노텍,CUST009
2 ,CUST009-2,흡수에 의한 시설,"유·무기산저장, 정제 및 혼합시설",11.0 ,0.37 ,5,엔나노텍,CUST009
3 ,CUST009-3,흡수에 의한 시설,정제시설,11.0 ,0.38 ,5,엔나노텍,CUST009
4 ,CUST009-4,흡수에 의한 시설,정제 및 혼합시설,6.0 ,0.38 ,5,엔나노텍,CUST009
,,,,,,,,
1 ,CUST010-1,산알카리처리시설,산알카리처리시설,10.0 ,0.60 ,5,대암산업,CUST010
3 ,CUST010-3,도장시설1,도장시설,10.0 ,0.77 ,4,대암산업,CUST010
4 ,CUST010-4,도장시설2,도장시설,10.0 ,0.64 ,5,대암산업,CUST010
,,,,,,,,
1 ,CUST011-1,T-801,유무기산저장시설 외,10.0 ,0.08 ,5,한덕화학,CUST011
2 ,CUST011-2,T-701,유무기산저장시설 외,10.0 ,0.08 ,5,한덕화학,CUST011
,,,,,,,,
방11,CUST012-방11,#A7 여과집진시설,선별시설 외,6.5 ,0.77 ,2,에스엠랩,CUST012
방21,CUST012-방21,#A5 흡착에 의한 시설,건조 및 혼합시설 외,0.8 ,0.34 ,5,에스엠랩,CUST012
방22,CUST012-방22,#A9 여과집진시설,분쇄 및 혼합시설 외,3.4 ,0.76 ,5,에스엠랩,CUST012
방24,CUST012-방24,#A8 여과집진시설,분쇄시설,2.6 ,0.61 ,5,에스엠랩,CUST012
방25,CUST012-방25,#A6 여과집진시설,소성시설,0.8 ,0.15 ,5,에스엠랩,CUST012
방26,CUST012-방26,#A1 여과집진시설,고체입자상물질저장시설 외,7.5 ,0.45 ,5,에스엠랩,CUST012
방2,CUST012-방2,#A14 방지시설설치면제시설,소성시설,5.0 ,0.35 ,5,에스엠랩,CUST012
방3,CUST012-방3,#A15 방지시설설치면제시설,소성시설,5.0 ,0.35 ,5,에스엠랩,CUST012
방13,CUST012-방13,#A16 방지시설설치면제시설,소성시설,3.5 ,0.42 ,5,에스엠랩,CUST012
방14,CUST012-방14,#A17 방지시설설치면제시설,소성시설,3.5 ,0.42 ,5,에스엠랩,CUST012
방15,CUST012-방15,#A18 방지시설설치면제시설,소성시설,3.5 ,0.42 ,5,에스엠랩,CUST012
방16,CUST012-방16,#A19 방지시설설치면제시설,소성시설,3.5 ,0.42 ,5,에스엠랩,CUST012
방17,CUST012-방17,#A20 방지시설설치면제시설,소성시설,3.5 ,0.42 ,5,에스엠랩,CUST012
방18,CUST012-방18,#A21 방지시설설치면제시설,소성시설,3.5 ,0.42 ,5,에스엠랩,CUST012
방19,CUST012-방19,방지시설설치면제시설,소성시설,3.5 ,0.42 ,5,에스엠랩,CUST012
방20,CUST012-방20,방지시설설치면제시설,소성시설,3.5 ,0.42 ,5,에스엠랩,CUST012
,,,,,,,,
1라인-1,CUST013-1라인-1,RTO 직접연소에 의한 시설,"폐수,폐기물,폐가스 소각시설 외",13.5 ,0.75 ,4,디씨엠,CUST013
2라인-1,CUST013-2라인-1,RTO 직접연소에 의한 시설,"폐수,폐기물,폐가스 소각시설 외",13.5 ,0.75 ,4,디씨엠,CUST013
3라인-1,CUST013-3라인-1,RTO 직접연소에 의한 시설,"폐수,폐기물,폐가스 소각시설 외",13.8 ,1.54 ,4,디씨엠,CUST013
,,,,,,,,
9 ,CUST014-9,VCU 직접연소에 의한 시설(CS-101),유기화합물저장시설 외,21.0 ,4.20 ,4,현대오일터미널,CUST014
,,,,,,,,
3 ,CUST015-3,여과집진시설,혼합 및 입자상물질포장시설,7.7 ,0.38 ,5,케이에스케미칼,CUST015
4 ,CUST015-4,흡착에 의한 시설,반응 및 혼합시설,7.0 ,0.53 ,5,케이에스케미칼,CUST015
5 ,CUST015-5,흡착에 의한 시설,반응 및 혼합시설,3.7 ,0.38 ,5,케이에스케미칼,CUST015
6 ,CUST015-6,여과집진시설,입자상물질포장시설,2.0 ,0.20 ,5,케이에스케미칼,CUST015
8 ,CUST015-8,흡착에 의한 시설,혼합시설,3.6 ,0.33 ,5,케이에스케미칼,CUST015
9 ,CUST015-9,흡착에 의한 시설,유기화합물저장시설,3.2 ,0.28 ,5,케이에스케미칼,CUST015
10 ,CUST015-10,B-103 방지시설설치면제시설,열매체보일러,1.3 ,0.48 ,5,케이에스케미칼,CUST015
,,,,,,,,
2 ,CUST016-2,RCO 촉매반응을 이용한 연소시설,유기화합물저장시설,10.0 ,0.35 ,5,효성탱크터미널,CUST016
,,,,,,,,
1 ,CUST017-1,VCU 직접연소에 의한 시설(CS-101),유기화합물저장시설,8.5 ,1.33 ,5,케이디탱크터미널,CUST017
3 ,CUST017-3,보일러,보일러,7.0 ,0.37 ,5,케이디탱크터미널,CUST017
4 ,CUST017-4,보일러,보일러,7.0 ,0.37 ,5,케이디탱크터미널,CUST017
5 ,CUST017-5,방지시설설치면제시설,유기산저장시설,-,-,-,케이디탱크터미널,CUST017
6 ,CUST017-6,방지시설설치면제시설,유기산저장시설,-,-,-,케이디탱크터미널,CUST017
8 ,CUST017-8,방지시설설치면제시설,유기산저장시설,-,-,-,케이디탱크터미널,CUST017
10 ,CUST017-10,여과집진시설,고체입자상물질 저장시설,-,-,-,케이디탱크터미널,CUST017
11 ,CUST017-11,여과집진시설,고체입자상물질 저장시설,-,-,-,케이디탱크터미널,CUST017
12 ,CUST017-12,원심력집진시설,정제(여과)시설,-,-,-,케이디탱크터미널,CUST017
13 ,CUST017-13,방지시설설치면제시설,정제(분리)시설,-,-,-,케이디탱크터미널,CUST017
14 ,CUST017-14,방지시설설치면제시설,무기산저장시설,-,-,-,케이디탱크터미널,CUST017
15 ,CUST017-15,방지시설설치면제시설,유기산저장시설,-,-,-,케이디탱크터미널,CUST017
16 ,CUST017-16,방지시설설치면제시설,무기산저장시설,-,-,-,케이디탱크터미널,CUST017
17 ,CUST017-17,방지시설설치면제시설,정제(분리)시설,-,-,-,케이디탱크터미널,CUST017
18 ,CUST017-18,흡수에 의한 시설,응축시설,-,-,-,케이디탱크터미널,CUST017
19 ,CUST017-19,연소조절에 의한 시설,열매체보일러,-,-,-,케이디탱크터미널,CUST017
,,,,,,,,
1 ,CUST018-1,흡착에 의한 시설,건조시설 외,8.5 ,0.85 ,5,현대모비스대구전동화공장,CUST018
2 ,CUST018-2,흡착에 의한 시설,그 밖의 시설 외,8.5 ,0.85 ,5,현대모비스대구전동화공장,CUST018
3 ,CUST018-3,흡착에 의한 시설,도포시설,6.6 ,0.80 ,5,현대모비스대구전동화공장,CUST018
4 ,CUST018-4,흡착에 의한 시설,도포시설,7.6 ,0.95 ,5,현대모비스대구전동화공장,CUST018
,,,,,,,,
1 ,CUST019-1,여과집진시설,탈사시설,10.2 ,1.08 ,5,케이디텍 인더스트리,CUST019
2-1,CUST019-2-1,흡착에 의한 시설,도장시설,10.1 ,1.17 ,4,케이디텍 인더스트리,CUST019
2-2,CUST019-2-2,흡착에 의한 시설,도장시설,10.1 ,1.17 ,4,케이디텍 인더스트리,CUST019
,,,,,,,,
2 ,CUST020-2,SRF 2호기,고형연료제품 사용시설,15.8 ,1.78 ,1,에팩,CUST020
3 ,CUST020-3,SRF 3호기,고형연료제품 사용시설,15.8 ,1.78 ,1,에팩,CUST020
,,,,,,,,
방1,CUST021-방1,세정집진시설,연마시설 외,6.0 ,1.59 ,5,세진,CUST021
방2,CUST021-방2,세정집진시설,연마시설 외,6.0 ,1.59 ,5,세진,CUST021
방3-1,CUST021-방3-1,세정 및 흡착의 의한 시설,도장시설,11.0 ,1.18 ,5,세진,CUST021
방3-2,CUST021-방3-2,세정 및 흡착의 의한 시설,도장시설,11.0 ,1.18 ,5,세진,CUST021
방4-1,CUST021-방4-1,세정 및 흡착의 의한 시설,도장시설,11.0 ,1.28 ,4,세진,CUST021
방4-2,CUST021-방4-2,세정 및 흡착의 의한 시설,도장시설,11.0 ,1.28 ,4,세진,CUST021
방5-1,CUST021-방5-1,세정 및 흡착의 의한 시설,도장시설,11.0 ,1.18 ,4,세진,CUST021
방5-2,CUST021-방5-2,세정 및 흡착의 의한 시설,도장시설,11.0 ,1.18 ,4,세진,CUST021
방6,CUST021-방6,흡착에 의한 시설,건조시설,11.0 ,0.38 ,5,세진,CUST021
방13,CUST021-방13,흡착에 의한 시설,도장시설,6.5 ,0.78 ,5,세진,CUST021
,,,,,,,,
1 ,CUST022-1,VCU-1 직접연소에 의한 시설,유기화합물 저장시설,12.2 ,2.20 ,4,한국보팍터미날,CUST022
14 ,CUST022-14,A/C Tower,유기화합물 저장시설,2.0 ,0.10 ,5,한국보팍터미날,CUST022
17 ,CUST022-17,A/N Tower,유기화합물 저장시설,2.5 ,0.10 ,5,한국보팍터미날,CUST022
4 ,CUST022-4,VCU-2 직접연소에 의한 시설,유기화합물 저장시설,17.2 ,2.50 ,4,한국보팍터미날,CUST022
9 ,CUST022-9,VRU 유증기회수시설,유기화합물 저장시설,4.0 ,0.10 ,5,한국보팍터미날,CUST022
,,,,,,,,
#A01,CUST023-#A01,#A01 촉매반응시설,가열시설,12.2 ,0.60 ,4,클린코리아 안강공장,CUST023
#A02,CUST023-#A02,#A02 폐가스소각시설,유기화합물 저장시설 외,-,-,-,클린코리아 안강공장,CUST023
"#A03,04","CUST023-#A03,04","#A03,4 예비시설",유기화합물 저장시설 외,-,-,-,클린코리아 안강공장,CUST023
#A05,CUST023-#A05,#A05 촉매반응시설,유기화합물 저장시설 외,24.7 ,1.00 ,2,클린코리아 안강공장,CUST023
,,,,,,,,
3 ,CUST024-3,NaOCl 저장시설,정제시설,5.0 ,0.72 ,5,홍인화학,CUST024
8 ,CUST024-8,고순도 염소,정제시설,4.8 ,0.66 ,5,홍인화학,CUST024
7 ,CUST024-7,S-101,정제시설 외,11.4 ,0.82 ,5,홍인화학,CUST024
9 ,CUST024-9,CC-401,반응(흡수)시설 외,3.4 ,0.44 ,5,홍인화학,CUST024
,,,,,,,,
3 ,CUST025-3,흡착에 의한 시설,유기화합물 저장시설,3.1 ,0.30 ,5,부승화학,CUST025
4 ,CUST025-4,흡착에 의한 시설,유기화합물 저장시설,2.2 ,0.18 ,5,부승화학,CUST025
,,,,,,,,
1 ,CUST026-1,원심력 및 여과집진시설,포장시설 외,10.0 ,1.15 ,4,누보,CUST026
3 ,CUST026-3,방지시설설치면제시설,건조시설,-,1.30 ,-,누보,CUST026
4 ,CUST026-4,방지시설설치면제시설,정제시설,-,1.30 ,-,누보,CUST026
6 ,CUST026-6,여과집진시설,포장시설,2.5 ,0.28 ,5,누보,CUST026
7 ,CUST026-7,여과집진시설,혼합시설,2.0 ,0.28 ,5,누보,CUST026
8 ,CUST026-8,여과집진시설,혼합시설,2.5 ,0.28 ,5,누보,CUST026
9 ,CUST026-9,여과집진시설,분쇄시설,2.0 ,0.28 ,5,누보,CUST026
10 ,CUST026-10,원심력 및 여과집진시설,선별시설,2.0 ,0.28 ,5,누보,CUST026
11 ,CUST026-11,원심력 및 여과집진시설,포장시설,2.0 ,0.29 ,5,누보,CUST026
12 ,CUST026-12,여과집진시설,선별시설,3.5 ,0.40 ,5,누보,CUST026
13 ,CUST026-13,여과집진시설,선별시설,2.0 ,0.18 ,5,누보,CUST026
14 ,CUST026-14,여과집진시설,선별시설,2.0 ,0.28 ,5,누보,CUST026
15 ,CUST026-15,방지시설설치면제시설,건조시설,-,1.30 ,-,누보,CUST026
16 ,CUST026-16,방지시설설치면제시설,정제시설,-,1.30 ,-,누보,CUST026
17 ,CUST026-17,여과집진시설,그 밖의 시설,2.0 ,0.28 ,5,누보,CUST026
18 ,CUST026-18,여과집진시설,그 밖의 시설,2.0 ,0.28 ,5,누보,CUST026
,,,,,,,,
#A24,CUST027-#A24,전해시설 #2,반응시설,14.7 ,0.48 ,2,제이엠씨,CUST027
#A25,CUST027-#A25,전해시설 #4,반응시설 외,7.6 ,0.40 ,2,제이엠씨,CUST027
#A26,CUST027-#A26,전해시설 #1,반응시설,17.7 ,0.70 ,2,제이엠씨,CUST027
#A27,CUST027-#A27,전해시설 #3,반응시설,11.8 ,0.50 ,2,제이엠씨,CUST027
,,,,,,,,
#A-1,CUST028-#A-1,석유코크스사일로,고체입자상물질 저장시설,24.8 ,0.31 ,4,페트로코너지,CUST028
#A-2,CUST028-#A-2,석회사일로,고체입자상물질 저장시설,16.2 ,0.20 ,5,페트로코너지,CUST028
#A-3,CUST028-#A-3,석유코크스보일러,석유코크스보일러,25.7 ,1.20 ,1,페트로코너지,CUST028
,,,,,,,,
1공장-1,CUST029-1공장-1,흡수에 의한 시설,탈지 및 피막시설,8.5 ,0.80 ,5,에스에이치팩,CUST029
1공장-2,CUST029-1공장-2,흡수 및 흡착에 의한 시설,대형도장라인 하도,4.5 ,0.87 ,4,에스에이치팩,CUST029
1공장-3,CUST029-1공장-3,흡수 및 흡착에 의한 시설,대형도장라인 상도,4.5 ,0.87 ,4,에스에이치팩,CUST029
1공장-4,CUST029-1공장-4,흡수에 의한 시설,탈지 및 피막시설,8.5 ,0.80 ,5,에스에이치팩,CUST029
1공장-5,CUST029-1공장-5,흡수 및 흡착에 의한 시설,중형도장라인 하도,4.5 ,0.87 ,4,에스에이치팩,CUST029
1공장-6,CUST029-1공장-6,흡수 및 흡착에 의한 시설,중형도장라인 상도,4.5 ,0.87 ,4,에스에이치팩,CUST029
1공장-7,CUST029-1공장-7,흡수에 의한 시설,탈지 및 피막시설,8.5 ,0.80 ,5,에스에이치팩,CUST029
1공장-8,CUST029-1공장-8,흡수 및 흡착에 의한 시설,소형도장라인 하도,4.5 ,0.68 ,5,에스에이치팩,CUST029
1공장-9,CUST029-1공장-9,흡수 및 흡착에 의한 시설,소형도장라인 상도,4.5 ,0.68 ,5,에스에이치팩,CUST029
1공장-10,CUST029-1공장-10,흡수에 의한 시설,탈지 및 피막시설,8.5 ,0.45 ,5,에스에이치팩,CUST029
1공장-11,CUST029-1공장-11,흡수 및 흡착에 의한 시설,대형도장라인 하도,5.0 ,0.70 ,5,에스에이치팩,CUST029
1공장-12,CUST029-1공장-12,흡수 및 흡착에 의한 시설,대형도장라인 상도,5.0 ,0.70 ,5,에스에이치팩,CUST029
1공장-13,CUST029-1공장-13,흡수 및 흡착에 의한 시설,대형도장라인 터치업,5.0 ,1.20 ,5,에스에이치팩,CUST029
1공장-14,CUST029-1공장-14,연소조절에 의한 시설,보일러,2.0 ,0.35 ,5,에스에이치팩,CUST029
