,,,,,,,2.1 굴뚝/배출구 정보,
항목,항목,항목,항목,항목,항목,항목,업체,고객사 코드
굴뚝 번호,굴뚝코드,굴뚝 정식 명칭,배출시설 종류,굴뚝 높이(m),굴뚝 안지름(m),굴뚝 종별(종),,
#A2020065,CUST001-#A2020065,Reduction #4 Reactor (구명칭:HL #4 Ra'),반응시설,-,0.15 ,5,고려아연,CUST001
#A2020066,CUST001-#A2020066,Reduction #5 Reactor (구명칭:HL #5 Ra'),반응시설,14.7 ,0.15 ,5,고려아연,CUST001
#A2020067,CUST001-#A2020067,Reduction #6 Reactor (구명칭:HL #6 Ra'),반응시설,14.7 ,0.15 ,5,고려아연,CUST001
#A2020068,CUST001-#A2020068,Reduction #7 Reactor (구명칭:Reduction #1 Reactor (Red/HL)),반응시설,14.3 ,0.15 ,5,고려아연,CUST001
#A2020069,CUST001-#A2020069,Reduction #8 Reactor (구명칭:Reduction #2 Reactor (Red/HL)),반응시설,14.3 ,0.15 ,5,고려아연,CUST001
#A2020070,CUST001-#A2020070,Reduction #9 Reactor (구명칭:Reduction #3 Reactor (Red/HL)),반응시설,13.9 ,0.15 ,5,고려아연,CUST001
#A2020071,CUST001-#A2020071,Reduction #10 Reactor (구명칭:Reduction #4 Reactor (Red/HL)),반응시설,13.9 ,0.15 ,5,고려아연,CUST001
#A2020072,CUST001-#A2020072,RED#1 Thickener,농축시설,11.7 ,0.55 ,5,고려아연,CUST001
#A2020073,CUST001-#A2020073,RED#2 Thickener,농축시설,12.3 ,0.55 ,5,고려아연,CUST001
#A2020074,CUST001-#A2020074,RED#3 Thickener,농축시설,-,0.54 ,5,고려아연,CUST001
#A2020075,CUST001-#A2020075,조액1 WAL Cushion Pulping Tank,혼합시설,-,0.28 ,5,고려아연,CUST001
#A2020076,CUST001-#A2020076,#1 Calcine Leaching Tank,혼합시설,10.6 ,0.40 ,5,고려아연,CUST001
#A2020077,CUST001-#A2020077,#2 Calcine Leaching Tank,혼합시설,10.6 ,0.30 ,5,고려아연,CUST001
#A2020078,CUST001-#A2020078,WAL #1-1 Ra',반응시설,17.9 ,0.55 ,5,고려아연,CUST001
#A2020079,CUST001-#A2020079,WAL #1-2 Ra',반응시설,17.1 ,0.37 ,5,고려아연,CUST001
#A2020080,CUST001-#A2020080,WAL #1-3 Ra',반응시설,-,0.39 ,5,고려아연,CUST001
#A2020081,CUST001-#A2020081,WAL #1-4 Ra',반응시설,17.2 ,0.30 ,5,고려아연,CUST001
#A2020082,CUST001-#A2020082,WAL #1-5 Ra',반응시설,17.0 ,0.30 ,5,고려아연,CUST001
#A2020083,CUST001-#A2020083,WAL #2-1 Ra',반응시설,19.6 ,0.50 ,5,고려아연,CUST001
#A2020084,CUST001-#A2020084,WAL #2-2 Ra',반응시설,-,-,5,고려아연,CUST001
#A2020085,CUST001-#A2020085,WAL #2-3 Ra',반응시설,-,0.45 ,5,고려아연,CUST001
#A2020086,CUST001-#A2020086,WAL #2-4 Ra',반응시설,16.8 ,0.27 ,5,고려아연,CUST001
#A2020087,CUST001-#A2020087,WAL #2-5 Ra',반응시설,17.0 ,0.27 ,5,고려아연,CUST001
