배출구명,측정일자,기상,기온℃,습도％,기압mmHg,풍향,풍속m／sec,가스속도m／s,가스온도℃,수분함량％,실측산소농도％,표준산소농도％,배출가스유량S㎥／min,오염물질,농도,배출허용기준농도,배출허용기준체크,측정업체
#A2020268,2.02507E+11,맑음,30,66,759.7,남동,3,5.1,63,3.86,0,0,30,먼지,0.6,21,,보아스환경기술
#A2020268,2.02507E+11,맑음,30,66,759.7,남동,3,5.1,63,3.86,0,0,30,황산화물,0,140,,보아스환경기술
#A2020268,2.02507E+11,맑음,30,66,759.7,남동,3,5.1,63,3.86,0,0,30,염화수소,0.2,3,,보아스환경기술
#A2020268,2.02507E+11,맑음,30,66,759.7,남동,3,5.1,63,3.86,0,0,30,불소화합물(F로서),0.29,2,,보아스환경기술
#A2020268,2.02507E+11,맑음,30,66,759.7,남동,3,5.1,63,3.86,0,0,30,암모니아,0.4,30,,보아스환경기술
#A2020268,2.02507E+11,맑음,30,66,759.7,남동,3,5.1,63,3.86,0,0,30,구리화합물(Cu로서),0,4,,보아스환경기술
#A2020268,2.02507E+11,맑음,30,66,759.7,남동,3,5.1,63,3.86,0,0,30,크롬화합물(Cr로서),0,0.4,,보아스환경기술
#A2020268,2.02507E+11,맑음,30,66,759.7,남동,3,5.1,63,3.86,0,0,30,납화합물(Pb로서),0.023,0.39,,보아스환경기술
#A2020268,2.02507E+11,맑음,30,66,759.7,남동,3,5.1,63,3.86,0,0,30,카드뮴화합물(Cd로서),0,0.1,,보아스환경기술
#A2020268,2.02507E+11,맑음,30,66,759.7,남동,3,5.1,63,3.86,0,0,30,니켈 및 그 화합물,0,1,,보아스환경기술
#A2020268,2.02507E+11,맑음,30,66,759.7,남동,3,5.1,63,3.86,0,0,30,아연화합물(Zn로서),0.041,4,,보아스환경기술
#A2020268,2.02507E+11,맑음,30,66,759.7,남동,3,5.1,63,3.86,0,0,30,비소화합물(As로서),0.012,0.25,,보아스환경기술
#A2020268,2.02507E+11,맑음,30,66,759.7,남동,3,5.1,63,3.86,0,0,30,수은화합물(Hg로서),0.00171,0.1,,보아스환경기술
#A2020268,2.02507E+11,맑음,30,66,759.7,남동,3,5.1,63,3.86,0,0,30,벤젠,0,2.9,,보아스환경기술
#A2020377,2.02507E+11,맑음,32,70,759.7,남동,2,1.61,64,2.17,0,0,15,먼지,0.6,21,,보아스환경기술
